Time (ps),Quercetin-FN1,pQ3RU-FN1
2042,2.12089,2.172371
2044,2.127115,2.173193
2046,2.130743,2.180731
2048,2.130102,2.175011
2050,2.122617,2.175881
2052,2.12303,2.176619
2054,2.133602,2.178943
2056,2.127747,2.186807
2058,2.127342,2.186094
2060,2.126671,2.18407
2062,2.125762,2.184071
2064,2.122617,2.180294
2066,2.119687,2.186963
2068,2.113516,2.189815
2070,2.109467,2.181309
2072,2.106294,2.179668
2074,2.111346,2.177379
2076,2.114622,2.190348
2078,2.112644,2.192209
2080,2.110884,2.183434
2082,2.119491,2.189272
2084,2.119351,2.180733
2086,2.127187,2.186212
2088,2.114648,2.183615
2090,2.114163,2.191052
2092,2.112897,2.189869
2094,2.120954,2.202418
2096,2.119222,2.196705
2098,2.131008,2.192467
2100,2.118078,2.196929
2102,2.12845,2.192498
2104,2.130086,2.192443
2106,2.12171,2.187812
2108,2.10984,2.192367
2110,2.11422,2.183101
2112,2.114345,2.195372
2114,2.119444,2.185283
2116,2.113336,2.185423
2118,2.113045,2.194226
2120,2.113018,2.201572
2122,2.128141,2.1993
2124,2.125,2.194019
2126,2.117921,2.200266
2128,2.113894,2.200642
2130,2.123867,2.212497
2132,2.10588,2.21048
2134,2.120191,2.202857
2136,2.124467,2.200567
2138,2.110798,2.199385
2140,2.104545,2.197194
2142,2.102673,2.195393
2144,2.096262,2.189238
2146,2.109569,2.19613
2148,2.10908,2.189749
2150,2.123213,2.19411
2152,2.11452,2.197576
2154,2.123664,2.193169
2156,2.120896,2.186044
2158,2.128268,2.185926
2160,2.129266,2.185642
2162,2.128787,2.181759
2164,2.128992,2.175111
2166,2.122781,2.171
2168,2.124953,2.171375
2170,2.108037,2.175038
2172,2.122285,2.186101
2174,2.119615,2.181519
2176,2.115228,2.20118
2178,2.124971,2.194124
2180,2.12633,2.197241
2182,2.130405,2.19339
2184,2.143219,2.194406
2186,2.142765,2.176353
2188,2.134671,2.180898
2190,2.132812,2.172895
2192,2.140251,2.17413
2194,2.12844,2.17685
2196,2.127653,2.177274
2198,2.131617,2.164198
2200,2.119341,2.162534
